id,split,age,education,default,balance,housing,loan,day,duration,campaign,pdays,previous,y,month_num,month_sin,month_cos,day_sin,day_cos,early_month,late_month,contact_intensity,avg_contact_duration,contacts_per_month,financial_stress,education_unknown,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,contact_telephone,contact_unknown,poutcome_other,poutcome_success,poutcome_unknown,season_spring,season_summer,season_winter,age_group,balance_group
57,labeled,49,2.0,0,2576,1,0,15,64,6,-1,0,0,5,0.49999999999999994,-0.8660254037844387,0.10116832198743272,-0.994869323391895,0,0,0.14074889032209112,10.666666666666666,1.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,3
58,labeled,34,2.0,0,8307,1,1,19,50,1,-1,0,0,11,-0.5000000000000004,0.8660254037844384,-0.651372482722222,-0.7587581226927911,0,0,0.018760195758564437,50.0,0.09090909090909091,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4
59,labeled,31,2.0,0,1091,1,0,12,93,8,-1,0,0,6,1.2246467991473532e-16,-1.0,0.6513724827222223,-0.758758122692791,0,0,0.19908759816381502,11.625,1.3333333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,3
61,labeled,41,3.0,0,1668,0,0,9,291,3,-1,0,0,6,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,1,0,0.16355893622671575,97.0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,2,3
62,labeled,31,2.0,0,341,1,0,28,155,1,-1,0,0,1,0.49999999999999994,0.8660254037844387,-0.5712682150947924,0.8207634412072763,0,1,0.06158238172920065,155.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,2
63,labeled,34,2.0,0,391,1,0,16,101,3,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,-0.10116832198743204,-0.9948693233918952,0,0,0.08607117113699306,33.666666666666664,0.42857142857142855,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2
64,labeled,43,1.0,0,8171,1,0,19,114,2,-1,0,0,5,0.49999999999999994,-0.8660254037844387,-0.651372482722222,-0.7587581226927911,0,0,0.06811715163701203,57.0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2,4
65,labeled,48,2.0,0,124,1,0,20,70,4,-1,0,0,4,0.8660254037844387,-0.4999999999999998,-0.7907757369376986,-0.6121059825476627,0,1,0.09668424447057931,17.5,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,3,2
66,labeled,43,2.0,0,7870,1,0,11,209,2,-1,0,0,8,-0.8660254037844385,-0.5000000000000004,0.7907757369376989,-0.6121059825476626,0,0,0.10686103418187337,104.5,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2,4
67,labeled,37,3.0,0,0,0,0,6,143,1,-1,0,0,6,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203,1,0,0.0566884176182708,143.0,0.16666666666666666,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,1
68,labeled,43,2.0,0,49,0,0,28,63,1,-1,0,0,5,0.49999999999999994,-0.8660254037844387,-0.5712682150947924,0.8207634412072763,0,1,0.02406199021207178,63.0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,2,2
70,labeled,57,1.0,0,5807,0,0,17,97,1,-1,0,0,6,1.2246467991473532e-16,-1.0,-0.2993631229733582,-0.9541392564000488,0,0,0.03792822185970636,97.0,0.16666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,4,4
72,labeled,50,1.0,0,758,0,0,17,174,2,-1,0,0,6,1.2246467991473532e-16,-1.0,-0.2993631229733582,-0.9541392564000488,0,0,0.09258697219166129,87.0,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,3,2
75,labeled,41,2.0,0,4894,1,0,31,121,2,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,-2.4492935982947064e-16,1.0,0,1,0.07097196403505443,60.5,0.2857142857142857,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,3
76,labeled,56,2.0,0,22201,1,0,21,189,1,-1,0,0,11,-0.5000000000000004,0.8660254037844384,-0.8978045395707417,-0.44039415155763423,0,1,0.07544861337683524,189.0,0.09090909090909091,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,5
78,labeled,36,2.0,0,1585,0,0,6,250,3,-1,0,0,6,1.2246467991473532e-16,-1.0,0.9377521321470804,0.3473052528448203,1,0,0.14683789218103874,83.33333333333333,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,3
79,labeled,53,2.0,0,724,1,0,14,230,1,-1,0,0,5,0.49999999999999994,-0.8660254037844387,0.29936312297335804,-0.9541392564000488,0,0,0.09216965742251224,230.0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,2
81,labeled,60,1.0,0,4902,0,0,9,313,1,-1,0,0,6,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,1,0,0.12601957585644374,313.0,0.16666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,4,3
82,labeled,49,3.0,0,851,1,0,20,408,1,-1,0,0,11,-0.5000000000000004,0.8660254037844384,-0.7907757369376986,-0.6121059825476627,0,1,0.16476345840130507,408.0,0.09090909090909091,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,2
83,labeled,26,3.0,0,81,0,0,21,262,3,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,-0.8978045395707417,-0.44039415155763423,0,1,0.1517318562919686,87.33333333333333,0.42857142857142855,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2
84,labeled,37,3.0,0,4041,0,1,25,106,2,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,-0.9377521321470804,0.3473052528448203,0,1,0.06485450889639213,53.0,0.2857142857142857,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,3
85,labeled,46,1.0,0,2756,1,0,17,332,1,-1,0,0,11,-0.5000000000000004,0.8660254037844384,-0.2993631229733582,-0.9541392564000488,0,0,0.133768352365416,332.0,0.09090909090909091,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3
86,labeled,38,3.0,0,0,1,0,17,213,2,-1,0,0,11,-0.5000000000000004,0.8660254037844384,-0.2993631229733582,-0.9541392564000488,0,0,0.10849235555218331,106.5,0.18181818181818182,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1
87,labeled,51,2.0,0,468,1,0,13,213,5,-1,0,0,5,0.49999999999999994,-0.8660254037844387,0.48530196253108104,-0.8743466161445821,0,0,0.1782597974126484,42.6,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,2
88,labeled,34,2.0,0,23,0,0,13,990,1,-1,0,1,8,-0.8660254037844385,-0.5000000000000004,0.48530196253108104,-0.8743466161445821,0,0,0.40212071778140296,990.0,0.125,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,2
90,labeled,40,1.0,0,0,1,0,11,271,2,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,0.7907757369376989,-0.6121059825476626,0,0,0.1321465154216776,135.5,0.2857142857142857,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,1
91,labeled,33,1.0,0,237,1,1,8,253,3,-1,0,0,5,0.49999999999999994,-0.8660254037844387,0.9987165071710528,-0.05064916883871264,1,0,0.1480613832087712,84.33333333333333,0.6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,2
92,labeled,42,3.0,0,491,1,0,11,144,2,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,0.7907757369376989,-0.6121059825476626,0,0,0.08035206191433666,72.0,0.2857142857142857,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,2
93,labeled,28,2.0,0,11555,0,0,8,125,2,-1,0,0,4,0.8660254037844387,-0.4999999999999998,0.9987165071710528,-0.05064916883871264,1,0,0.0726032854053644,62.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,5
94,labeled,59,2.0,0,5318,1,0,5,200,3,-1,0,0,5,0.49999999999999994,-0.8660254037844387,0.8486442574947509,0.5289640103269624,1,0,0.12644637505216433,66.66666666666667,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,4
95,labeled,46,2.0,0,543,0,0,12,1181,4,-1,0,1,8,-0.8660254037844385,-0.5000000000000004,0.6513724827222223,-0.758758122692791,0,0,0.5497837550741682,295.25,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,2
96,labeled,45,2.0,0,778,1,1,3,34,1,-1,0,0,6,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763,1,0,0.012234910277324634,34.0,0.16666666666666666,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,2
97,labeled,44,2.0,0,6657,1,0,19,354,2,-1,0,0,11,-0.5000000000000004,0.8660254037844384,-0.651372482722222,-0.7587581226927911,0,0,0.16599643385560908,177.0,0.18181818181818182,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,4
98,labeled,48,1.0,1,-577,1,0,2,25,7,-1,0,0,6,1.2246467991473532e-16,-1.0,0.39435585511331855,0.9189578116202306,1,0,0.1480993209150575,3.5714285714285716,1.1666666666666667,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,3,1
99,labeled,52,1.0,0,601,0,0,21,122,2,-1,0,0,7,-0.4999999999999997,-0.8660254037844388,-0.8978045395707417,-0.44039415155763423,0,1,0.07137979437763192,61.0,0.2857142857142857,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,2
100,labeled,56,3.0,0,327,1,0,15,127,2,-1,0,0,5,0.49999999999999994,-0.8660254037844387,0.10116832198743272,-0.994869323391895,0,0,0.07341894609051937,63.5,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,4,2
101,labeled,59,1.0,0,1428,0,0,18,140,2,-1,0,0,6,1.2246467991473532e-16,-1.0,-0.4853019625310808,-0.8743466161445822,0,0,0.07872074054402671,70.0,0.3333333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,4,3
102,labeled,38,2.0,0,2540,0,0,10,223,1,414,4,1,8,-0.8660254037844385,-0.5000000000000004,0.8978045395707416,-0.4403941515576344,1,0,0.2632278885027307,223.0,0.125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,3
104,labeled,47,0.0,0,199,1,0,6,135,2,-1,0,0,5,0.49999999999999994,-0.8660254037844387,0.9377521321470804,0.3473052528448203,1,0,0.07668158883113926,67.5,0.4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,3,2
105,labeled,41,2.0,0,774,1,0,15,432,3,-1,0,0,5,0.49999999999999994,-0.8660254037844387,0.10116832198743272,-0.994869323391895,0,0,0.22106301453014152,144.0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,2
108,labeled,55,0.0,0,29,0,0,13,123,2,-1,0,0,8,-0.8660254037844385,-0.5000000000000004,0.48530196253108104,-0.8743466161445821,0,0,0.07178762472020941,61.5,0.25,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,4,2
109,labeled,44,3.0,0,171,0,0,8,126,2,-1,0,0,8,-0.8660254037844385,-0.5000000000000004,0.9987165071710528,-0.05064916883871264,1,0,0.07301111574794188,63.0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,2,2
110,labeled,60,2.0,0,386,1,0,4,80,1,-1,0,0,2,0.8660254037844386,0.5000000000000001,0.72479278722912,0.6889669190756866,1,0,0.030995106035889074,80.0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4,2
111,labeled,57,3.0,0,0,1,0,21,67,1,-1,0,0,11,-0.5000000000000004,0.8660254037844384,-0.8978045395707417,-0.44039415155763423,0,1,0.02569331158238173,67.0,0.09090909090909091,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1
