LotArea,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,OpenPorchSF,EnclosedPorch,PoolArea,SalePrice,HasMiscFeature,HasGarage,TotalPorchSF,TotalBuiltArea,LivingAreaPerc,BuiltAreaRatio,WasRemod,Has2ndFloor,house_age_group,lot_size_category,house_quality_score,house_age,years_since_remod,garage_age,LandSlope_ord,MSZoning_ord,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Street_encoded,Utilities_encoded,Foundation_ord,Heating_ord,Electrical_ord,GarageType_ord,GarageFinish_ord,MiscFeature_ord
10215,1954.0,1954,864,948,0,948,0,1,3,1,5,0,1954.0,1,248,0,0,0,111000.0,0,1,0,1812,0.09280469897209985,1.9113924050632911,0,0,1,2,0,70.0,70,70.0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,4,3,5,1,0.0
7742,1966.0,1966,955,955,0,955,1,1,3,1,6,0,1966.0,1,386,0,0,0,127000.0,0,1,0,1910,0.12335313872384397,2.0,0,0,1,1,0,58.0,58,58.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
12546,1981.0,1981,1440,1440,0,1440,0,2,3,1,7,1,1981.0,2,467,0,99,0,182900.0,0,1,99,2880,0.11477761836441894,2.0,0,0,2,2,3,43.0,43,43.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,3,0.0
6442,2006.0,2006,1370,1370,0,1370,0,2,2,1,6,1,2006.0,2,484,49,0,0,202500.0,0,1,49,2740,0.21266687364172618,2.0,0,0,3,1,4,18.0,18,18.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
9591,2004.0,2005,1143,1143,1330,2473,0,2,4,1,9,1,2004.0,3,852,151,0,0,317000.0,0,1,151,3616,0.2578458971952872,1.462191670036393,1,1,3,1,4,20.0,19,20.0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,4,2,0.0
12090,1984.0,2003,585,1140,728,1868,0,3,3,1,7,1,1984.0,2,477,112,0,0,178000.0,0,1,112,2453,0.15450785773366418,1.313169164882227,1,1,2,2,3,40.0,21,40.0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,2,4,3,4,3,0.0
7800,1964.0,1964,912,912,0,912,0,1,2,1,5,0,1964.0,1,288,0,0,0,115000.0,0,1,0,1824,0.11692307692307692,2.0,0,0,1,1,0,60.0,60,60.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
9531,1998.0,1998,794,882,914,1796,1,2,3,1,7,0,1998.0,2,546,36,0,0,211000.0,0,1,36,2590,0.18843772951421678,1.4420935412026725,0,1,2,1,3,26.0,26,26.0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
9600,1925.0,1990,728,832,809,1641,0,1,3,1,6,1,1925.0,2,546,0,234,0,178000.0,0,1,234,2369,0.1709375,1.4436319317489337,1,1,0,1,2,99.0,34,99.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,4,3,2,1,0.0
8849,2005.0,2005,1684,1684,0,1684,0,2,2,1,6,1,2005.0,2,564,72,0,0,266000.0,0,1,72,3368,0.19030398915131652,2.0,0,0,3,1,4,19.0,19,19.0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,4,3,5,2,0.0
1491,1972.0,1972,630,630,0,630,1,1,1,1,3,0,0.0,0,0,24,0,0,75500.0,0,1,24,1260,0.4225352112676056,2.0,0,0,1,0,0,52.0,52,2024.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,4,3,0,0,0.0
8320,2004.0,2004,770,770,812,1582,0,2,3,1,6,0,2004.0,2,520,45,0,0,185900.0,0,1,45,2352,0.19014423076923076,1.4867256637168142,0,1,3,1,3,20.0,20,20.0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
10637,2007.0,2008,1705,1718,0,1718,1,2,3,1,7,1,2007.0,3,826,44,0,0,297000.0,0,1,44,3423,0.16151170442794022,1.9924330616996508,1,0,3,2,4,17.0,16,17.0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,4,3,5,2,0.0
6324,1927.0,1950,520,520,0,520,0,1,1,1,4,0,1920.0,1,240,0,87,0,68500.0,0,1,87,1040,0.08222643896268185,2.0,1,0,0,1,0,97.0,74,104.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,3,2,1,0.0
9764,1967.0,2003,894,894,0,894,1,1,3,1,5,0,1967.0,2,450,0,0,0,130000.0,0,1,0,1788,0.09156083572306432,2.0,1,0,1,1,1,57.0,21,57.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,2,0.0
7200,1931.0,2000,776,851,651,1502,0,1,3,1,6,1,1931.0,1,270,0,112,0,149000.0,0,1,112,2278,0.2086111111111111,1.5166444740346205,1,1,0,1,1,93.0,24,93.0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,4,3,5,2,0.0
8250,1968.0,1968,952,1211,0,1211,0,1,3,1,5,1,1968.0,1,322,63,0,0,134000.0,0,1,63,2163,0.1467878787878788,1.7861271676300579,0,0,1,1,1,56.0,56,56.0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,4,3,5,1,0.0
3182,2004.0,2005,1256,1269,0,1269,0,2,2,1,6,1,2004.0,2,430,20,0,0,192000.0,0,1,20,2525,0.3988057825267128,1.9897557131599686,1,0,3,0,4,20.0,19,20.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,3,0.0
3180,2005.0,2005,600,520,600,1200,0,2,2,1,4,0,2005.0,2,480,166,0,0,151000.0,0,1,166,1720,0.37735849056603776,1.4333333333333333,0,1,3,0,3,19.0,19,19.0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,2,2,0.0
8525,1911.0,1950,940,1024,940,1964,0,1,4,1,7,0,0.0,0,0,192,0,0,130000.0,0,1,192,2904,0.23038123167155425,1.4786150712830957,1,1,0,1,0,113.0,74,2024.0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,2,0,0,0.0
10420,2009.0,2009,1212,1212,0,1212,0,2,3,1,6,0,2009.0,2,460,22,0,0,186000.0,0,1,22,2424,0.1163147792706334,2.0,0,0,3,2,3,15.0,15,15.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
10000,1973.0,2000,1176,1178,0,1178,0,1,3,1,5,1,1973.0,2,439,0,0,0,157000.0,0,1,0,2354,0.1178,1.9983022071307301,1,0,1,1,2,51.0,24,51.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
11616,1978.0,1978,672,672,714,1386,0,2,3,1,6,1,1978.0,2,440,0,0,0,158900.0,0,1,0,2058,0.11931818181818182,1.4848484848484849,0,1,1,2,3,46.0,46,46.0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,2,4,3,5,3,0.0
14115,1956.0,2004,1073,1811,0,1811,0,1,2,1,6,1,1956.0,2,470,0,280,0,230000.0,0,1,280,2884,0.12830322352107687,1.5924903368304804,1,0,1,2,2,68.0,20,68.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,3,0.0
9525,1995.0,2006,1099,1099,0,1099,0,1,3,1,6,0,1999.0,1,352,0,0,0,144000.0,0,1,0,2198,0.11538057742782153,2.0,1,0,2,1,1,29.0,18,25.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,1,0.0
8816,1963.0,1963,1121,1121,0,1121,1,1,3,1,5,0,1963.0,2,480,80,0,0,139000.0,0,1,80,2242,0.1271551724137931,2.0,0,0,1,1,1,61.0,61,61.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,2,1,0.0
7200,1950.0,1950,876,988,0,988,0,1,3,1,6,0,1950.0,1,276,80,0,0,119000.0,0,1,80,1864,0.13722222222222222,1.8866396761133604,0,0,0,1,0,74.0,74,74.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
13710,1950.0,1950,910,910,648,1558,0,1,4,1,6,0,1950.0,1,282,0,0,0,152000.0,0,1,0,2468,0.11363967906637491,1.58408215661104,0,1,0,2,0,74.0,74,74.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,2,5,1,0.0
9945,1961.0,1961,988,988,0,988,1,1,3,1,5,0,1963.0,2,572,0,0,0,128500.0,0,1,0,1976,0.09934640522875816,2.0,0,0,1,1,1,63.0,63,61.0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,4,3,2,1,0.0
7500,1963.0,1963,1040,1040,0,1040,1,1,3,1,5,0,1963.0,1,308,0,220,0,133000.0,0,1,220,2080,0.13866666666666666,2.0,0,0,1,1,0,61.0,61,61.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,3,0.0
9473,2002.0,2002,1128,1128,903,2031,1,2,3,1,7,1,2002.0,2,577,211,0,0,237000.0,0,1,211,3159,0.2143988176923889,1.5553914327917282,0,1,3,1,4,22.0,22,22.0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
15750,1953.0,1953,1165,1336,0,1336,1,1,2,1,5,2,1953.0,1,375,0,0,0,157000.0,0,1,0,2501,0.08482539682539683,1.8720059880239521,0,0,1,3,1,71.0,71,71.0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,4,3,5,1,0.0
7388,1959.0,2002,1063,1327,0,1327,1,1,3,1,7,0,1974.0,2,624,0,0,0,150750.0,0,1,0,2390,0.17961559285327558,1.8010550113036925,1,0,1,1,1,65.0,22,50.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,2,1,0.0
11050,2000.0,2000,1440,1476,677,2153,1,2,3,1,8,2,2000.0,3,736,142,0,0,313000.0,0,1,142,3593,0.194841628959276,1.6688341848583372,0,1,2,2,4,24.0,24,24.0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,4,4,3,5,3,0.0
8814,2005.0,2007,1274,1274,0,1274,1,2,3,1,6,0,2005.0,2,508,98,0,0,203000.0,0,1,98,2548,0.14454277286135694,2.0,1,0,3,1,3,19.0,17,19.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
10762,1999.0,1999,978,1005,978,1983,0,2,3,1,9,1,1999.0,2,490,0,0,0,225000.0,0,1,0,2961,0.18425943133246608,1.4931921331316187,0,1,2,2,4,25.0,25,25.0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,3,0.0
12493,1960.0,1960,1100,1100,0,1100,1,1,3,1,6,1,1960.0,1,312,0,0,0,141000.0,0,1,0,2200,0.08804930761226287,2.0,0,0,1,2,1,64.0,64,64.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
11184,1978.0,1978,918,918,765,1683,0,2,3,1,7,1,1978.0,2,440,0,0,0,172500.0,0,1,0,2601,0.15048283261802575,1.5454545454545454,0,1,1,2,3,46.0,46,46.0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,2,4,3,5,2,0.0
10364,1995.0,1996,806,806,766,1572,0,2,3,1,7,1,1995.0,2,373,40,0,0,168000.0,0,1,40,2378,0.15167888846005403,1.5127226463104326,1,1,2,2,4,29.0,28,29.0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,4,3,0.0
9206,1985.0,1985,741,977,755,1732,0,2,3,1,7,1,1985.0,2,476,46,0,0,178000.0,0,1,46,2473,0.18813817075820116,1.4278290993071594,0,1,2,1,3,39.0,39,39.0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,3,0.0
8944,1967.0,1967,1584,1584,0,1584,0,2,4,2,8,0,1967.0,3,792,152,0,0,124000.0,0,1,152,3168,0.1771019677996422,2.0,0,0,1,1,2,57.0,57,57.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,2,1,0.0
9020,1964.0,1964,1248,1350,0,1350,1,1,3,1,6,0,1964.0,2,520,0,0,0,168500.0,0,1,0,2598,0.14966740576496673,1.9244444444444444,0,0,1,1,1,60.0,60,60.0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,4,3,5,2,0.0
12090,1998.0,1998,1141,1165,1098,2263,0,2,4,1,10,1,1998.0,2,420,123,0,0,258000.0,0,1,123,3404,0.18717948717948718,1.5041979673000443,0,1,2,2,4,26.0,26,26.0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,4,4,3,4,3,0.0
8450,1968.0,1968,1056,1056,0,1056,1,1,3,1,6,1,1968.0,1,304,85,184,0,142000.0,0,1,269,2112,0.12497041420118343,2.0,0,0,1,1,1,56.0,56,56.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
8125,2006.0,2006,770,778,798,1576,0,2,3,1,6,0,2006.0,2,614,50,0,0,197000.0,0,1,50,2346,0.19396923076923078,1.4885786802030456,0,1,3,1,3,18.0,18,18.0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
11250,2002.0,2002,1128,1149,1141,2290,0,2,4,1,9,1,2002.0,2,779,0,0,0,255900.0,0,1,0,3418,0.20355555555555555,1.4925764192139739,0,1,3,2,4,22.0,22,22.0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,1,0.0
8544,1966.0,2006,1228,1228,0,1228,0,1,3,1,6,0,1966.0,1,271,65,0,0,149350.0,0,1,65,2456,0.14372659176029962,2.0,1,0,1,1,0,58.0,18,58.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
4928,1976.0,1976,1078,958,0,958,0,2,2,1,5,1,1977.0,2,440,205,0,0,128000.0,0,1,205,2036,0.19439935064935066,2.125260960334029,0,0,1,0,3,48.0,48,47.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,2,0.0
7685,1993.0,1994,697,697,804,1501,0,2,3,1,6,1,1993.0,2,420,63,0,0,165600.0,0,1,63,2198,0.19531554977228366,1.4643570952698202,1,1,2,1,4,31.0,30,31.0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,3,0.0
8800,1964.0,1964,1251,1251,0,1251,1,1,3,1,6,2,1964.0,1,461,116,0,0,160000.0,1,1,116,2502,0.1421590909090909,2.0,0,0,1,1,1,60.0,60,60.0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,4,3,5,2,1.0
1680,1971.0,1971,483,483,504,987,0,1,2,1,5,0,1971.0,1,264,0,0,0,89500.0,0,1,0,1470,0.5875,1.4893617021276595,0,1,1,0,0,53.0,53,53.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,2,1,0.0
2117,2000.0,2000,756,769,804,1573,0,2,3,1,5,0,2000.0,2,440,32,0,0,177500.0,0,1,32,2329,0.7430325932923949,1.480610298792117,0,1,2,0,3,24.0,24,24.0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,2,1,0.0
11428,2006.0,2006,1626,1634,0,1634,0,2,3,1,7,1,2006.0,3,866,44,0,0,250000.0,0,1,44,3260,0.14298214910745538,1.9951040391676866,0,0,3,2,4,18.0,18,18.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
7700,1972.0,1972,882,882,0,882,1,1,3,1,5,0,1980.0,2,461,0,0,0,112500.0,0,1,0,1764,0.11454545454545455,2.0,0,0,1,1,1,52.0,52,44.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,2,1,0.0
8544,1949.0,1950,0,1040,0,1040,0,2,2,2,6,0,1949.0,2,400,0,0,0,87500.0,0,1,0,1040,0.12172284644194757,1.0,1,0,0,1,2,75.0,74,75.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,2,2,1,0.0
1974,1973.0,1973,546,546,546,1092,0,1,3,1,6,0,1973.0,1,286,96,0,0,83500.0,0,1,96,1638,0.5531914893617021,1.5,0,1,1,0,0,51.0,51,51.0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,2,0.0
1596,1973.0,1973,462,526,462,988,1,1,2,1,5,0,1973.0,1,297,101,0,0,91000.0,0,1,101,1450,0.6190476190476191,1.4676113360323886,0,1,1,0,0,51.0,51,51.0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,4,3,4,1,0.0
25286,1963.0,1963,1064,1040,0,1040,1,1,3,1,5,0,1963.0,2,648,0,0,0,132250.0,0,1,0,2104,0.04112947876295183,2.023076923076923,0,0,1,3,1,61.0,61,61.0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,1,0.0
11616,1962.0,1962,1092,1092,0,1092,0,1,3,1,6,1,1962.0,1,288,20,144,0,139000.0,0,1,164,2184,0.09400826446280992,2.0,0,0,1,2,1,62.0,62,62.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
8400,1980.0,1981,650,888,676,1564,0,2,3,1,7,1,1980.0,2,476,50,0,0,171000.0,0,1,50,2214,0.18619047619047618,1.4156010230179028,1,1,1,1,3,44.0,43,44.0,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
8923,1953.0,2006,1008,1008,0,1008,1,1,2,1,6,0,1953.0,1,240,18,0,0,134500.0,0,1,18,2016,0.11296649109044044,2.0,1,0,1,1,0,71.0,18,71.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
12150,1954.0,1954,1050,1050,745,1795,0,2,4,1,7,0,1954.0,1,352,0,0,0,131500.0,0,1,0,2845,0.14773662551440328,1.584958217270195,0,1,1,2,1,70.0,70,70.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,1,5,1,0.0
5330,2000.0,2000,1494,1652,0,1652,1,2,2,1,6,0,2000.0,2,499,48,0,0,251000.0,0,1,48,3146,0.3099437148217636,1.9043583535108959,0,0,2,1,3,24.0,24,24.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
12378,2003.0,2004,1896,1944,0,1944,1,2,3,1,8,3,2003.0,3,708,175,0,0,360000.0,0,1,175,3840,0.1570528356761997,1.9753086419753085,1,0,3,2,4,21.0,20,21.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,3,0.0
10920,1960.0,1960,1253,1253,0,1253,1,1,2,1,5,1,1960.0,1,352,213,176,0,157000.0,0,1,389,2506,0.11474358974358974,2.0,0,0,1,2,1,64.0,64,64.0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,4,3,5,2,0.0
17871,1967.0,1976,1680,1724,0,1724,1,1,3,1,7,1,1967.0,2,480,0,0,0,197900.0,0,1,0,3404,0.09646913994740082,1.974477958236659,1,0,1,3,2,57.0,48,57.0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,4,3,5,2,0.0
11782,1961.0,1995,1109,1155,0,1155,1,1,3,1,6,0,1987.0,2,576,0,0,0,148000.0,1,1,0,2264,0.09803089458496012,1.9601731601731602,1,0,1,2,1,63.0,29,37.0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,4,3,2,1,1.0
10784,1991.0,1992,384,802,670,1472,0,2,3,1,7,1,1991.0,2,402,0,0,0,160000.0,0,1,0,1856,0.13649851632047477,1.2608695652173914,1,1,2,2,4,33.0,32,33.0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
15578,2006.0,2006,728,728,728,1456,0,2,3,1,8,0,2006.0,2,429,0,0,0,172785.0,0,1,0,2184,0.093465143150597,1.5,0,1,3,3,3,18.0,18,18.0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,2,0.0
3013,2005.0,2005,1362,1506,0,1506,0,2,2,1,6,1,2005.0,2,440,20,0,0,213490.0,0,1,20,2868,0.49983405243942913,1.904382470119522,0,0,3,0,4,19.0,19,19.0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,4,3,5,3,0.0
8064,1949.0,2006,672,672,252,924,0,1,3,1,6,1,2003.0,2,576,0,0,0,122900.0,1,1,0,1596,0.11458333333333333,1.7272727272727273,1,1,0,1,2,75.0,18,21.0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,2,1,1.0
14145,1984.0,1998,1208,1621,0,1621,1,2,3,1,8,0,1984.0,2,440,45,0,0,202500.0,1,1,45,2829,0.11459879816189467,1.745219000616903,1,0,2,2,2,40.0,26,40.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,2,1.0
9600,1955.0,1972,1156,1520,0,1520,1,1,3,1,7,2,1955.0,1,364,0,189,0,153000.0,0,1,189,2676,0.15833333333333333,1.7605263157894737,1,0,1,1,1,69.0,52,69.0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,4,3,3,2,0.0
14850,1957.0,1957,1092,1092,0,1092,1,1,2,1,6,1,1957.0,1,299,0,0,0,141000.0,0,1,0,2184,0.07353535353535354,2.0,0,0,1,2,1,67.0,67,67.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,2,5,3,0.0
7200,1980.0,1980,936,936,0,936,1,1,2,1,4,0,1980.0,2,672,0,0,0,140000.0,0,1,0,1872,0.13,2.0,0,0,1,1,1,44.0,44,44.0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,4,3,2,1,0.0
7677,1953.0,1953,773,773,0,773,0,1,2,1,4,0,1953.0,1,240,0,0,0,110000.0,0,1,0,1546,0.10069037384394947,2.0,0,0,1,1,0,71.0,71,71.0,0,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,4,3,5,1,0.0
