Split,Id,LotArea,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,OpenPorchSF,EnclosedPorch,PoolArea,MiscFeature,SalePrice,mszoning_num,HasMiscFeature,HouseStyle_num,st_grvl_pave,ut_allpub_nosewa,land_slope_ord,roof_style_num,foundation_num,heating_num,electrical_num,central_air_num,garage_num,garage_finish_num,paveddrive_num
labeled,32,10000,1973.0,2000,1176,1178,0,1178,0,1,3,1,5,1,1973.0,2,439,0,0,0,0,157000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,33,11616,1978.0,1978,672,672,714,1386,0,2,3,1,6,1,1978.0,2,440,0,0,0,0,158900.0,3.0,0,5.0,1,1,0,3.0,2.0,3.0,3.0,1,3.0,3,1.0
labeled,34,14115,1956.0,2004,1073,1811,0,1811,0,1,2,1,6,1,1956.0,2,470,0,280,0,0,230000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,3,1.0
labeled,35,9525,1995.0,2006,1099,1099,0,1099,0,1,3,1,6,0,1999.0,1,352,0,0,0,0,144000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,1,1.0
labeled,36,8816,1963.0,1963,1121,1121,0,1121,1,1,3,1,5,0,1963.0,2,480,80,0,0,0,139000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,2.0,1,1.0
labeled,37,7200,1950.0,1950,876,988,0,988,0,1,3,1,6,0,1950.0,1,276,80,0,0,0,119000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,38,13710,1950.0,1950,910,910,648,1558,0,1,4,1,6,0,1950.0,1,282,0,0,0,0,152000.0,2.0,0,2.0,1,1,0,2.0,2.0,3.0,2.0,1,3.0,1,1.0
labeled,39,9945,1961.0,1961,988,988,0,988,1,1,3,1,5,0,1963.0,2,572,0,0,0,0,128500.0,3.0,0,1.0,1,1,0,3.0,2.0,3.0,3.0,1,2.0,1,1.0
labeled,40,7500,1963.0,1963,1040,1040,0,1040,1,1,3,1,5,0,1963.0,1,308,0,220,0,0,133000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,3,1.0
labeled,41,9473,2002.0,2002,1128,1128,903,2031,1,2,3,1,7,1,2002.0,2,577,211,0,0,0,237000.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,42,15750,1953.0,1953,1165,1336,0,1336,1,1,2,1,5,2,1953.0,1,375,0,0,0,0,157000.0,3.0,0,1.0,1,1,0,3.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,43,7388,1959.0,2002,1063,1327,0,1327,1,1,3,1,7,0,1974.0,2,624,0,0,0,0,150750.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,2.0,1,1.0
labeled,44,11050,2000.0,2000,1440,1476,677,2153,1,2,3,1,8,2,2000.0,3,736,142,0,0,0,313000.0,3.0,0,5.0,1,1,0,3.0,3.0,3.0,3.0,1,3.0,3,1.0
labeled,45,8814,2005.0,2007,1274,1274,0,1274,1,2,3,1,6,0,2005.0,2,508,98,0,0,0,203000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,46,10762,1999.0,1999,978,1005,978,1983,0,2,3,1,9,1,1999.0,2,490,0,0,0,0,225000.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,3,1.0
labeled,47,12493,1960.0,1960,1100,1100,0,1100,1,1,3,1,6,1,1960.0,1,312,0,0,0,0,141000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,48,11184,1978.0,1978,918,918,765,1683,0,2,3,1,7,1,1978.0,2,440,0,0,0,0,172500.0,3.0,0,5.0,1,1,0,3.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,49,10364,1995.0,1996,806,806,766,1572,0,2,3,1,7,1,1995.0,2,373,40,0,0,0,168000.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,4.0,3,1.0
labeled,50,9206,1985.0,1985,741,977,755,1732,0,2,3,1,7,1,1985.0,2,476,46,0,0,0,178000.0,3.0,0,5.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,3,1.0
labeled,51,8944,1967.0,1967,1584,1584,0,1584,0,2,4,2,8,0,1967.0,3,792,152,0,0,0,124000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,2.0,1,1.0
labeled,52,9020,1964.0,1964,1248,1350,0,1350,1,1,3,1,6,0,1964.0,2,520,0,0,0,0,168500.0,3.0,0,4.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,53,12090,1998.0,1998,1141,1165,1098,2263,0,2,4,1,10,1,1998.0,2,420,123,0,0,0,258000.0,3.0,0,5.0,1,1,0,3.0,3.0,3.0,3.0,1,4.0,3,1.0
labeled,54,8450,1968.0,1968,1056,1056,0,1056,1,1,3,1,6,1,1968.0,1,304,85,184,0,0,142000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,55,8125,2006.0,2006,770,778,798,1576,0,2,3,1,6,0,2006.0,2,614,50,0,0,0,197000.0,3.2,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,56,11250,2002.0,2002,1128,1149,1141,2290,0,2,4,1,9,1,2002.0,2,779,0,0,0,0,255900.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,1,1.0
labeled,57,8544,1966.0,2006,1228,1228,0,1228,0,1,3,1,6,0,1966.0,1,271,65,0,0,0,149350.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,58,4928,1976.0,1976,1078,958,0,958,0,2,2,1,5,1,1977.0,2,440,205,0,0,0,128000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,59,7685,1993.0,1994,697,697,804,1501,0,2,3,1,6,1,1993.0,2,420,63,0,0,0,165600.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,3,1.0
labeled,60,8800,1964.0,1964,1251,1251,0,1251,1,1,3,1,6,2,1964.0,1,461,116,0,0,1,160000.0,3.0,1,1.0,1,1,0,3.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,61,1680,1971.0,1971,483,483,504,987,0,1,2,1,5,0,1971.0,1,264,0,0,0,0,89500.0,2.0,0,5.0,1,1,0,2.0,2.0,3.0,3.0,1,2.0,1,1.0
labeled,62,2117,2000.0,2000,756,769,804,1573,0,2,3,1,5,0,2000.0,2,440,32,0,0,0,177500.0,3.2,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,2.0,1,1.0
labeled,63,11428,2006.0,2006,1626,1634,0,1634,0,2,3,1,7,1,2006.0,3,866,44,0,0,0,250000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,64,7700,1972.0,1972,882,882,0,882,1,1,3,1,5,0,1980.0,2,461,0,0,0,0,112500.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,2.0,1,1.0
labeled,65,8544,1949.0,1950,0,1040,0,1040,0,2,2,2,6,0,1949.0,2,400,0,0,0,0,87500.0,3.0,0,1.0,1,1,0,2.0,0.0,0.5,2.0,0,2.0,1,1.0
labeled,66,1974,1973.0,1973,546,546,546,1092,0,1,3,1,6,0,1973.0,1,286,96,0,0,0,83500.0,2.0,0,5.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,67,1596,1973.0,1973,462,526,462,988,1,1,2,1,5,0,1973.0,1,297,101,0,0,0,91000.0,2.0,0,4.0,1,1,0,2.0,2.0,3.0,3.0,1,4.0,1,1.0
labeled,68,25286,1963.0,1963,1064,1040,0,1040,1,1,3,1,5,0,1963.0,2,648,0,0,0,0,132250.0,3.0,0,1.0,1,1,1,2.0,3.0,3.0,3.0,1,3.0,1,1.0
labeled,69,11616,1962.0,1962,1092,1092,0,1092,0,1,3,1,6,1,1962.0,1,288,20,144,0,0,139000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,70,8400,1980.0,1981,650,888,676,1564,0,2,3,1,7,1,1980.0,2,476,50,0,0,0,171000.0,3.0,0,5.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,71,8923,1953.0,2006,1008,1008,0,1008,1,1,2,1,6,0,1953.0,1,240,18,0,0,0,134500.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,72,12150,1954.0,1954,1050,1050,745,1795,0,2,4,1,7,0,1954.0,1,352,0,0,0,0,131500.0,2.0,0,2.0,1,1,0,2.0,1.0,3.0,1.0,0,3.0,1,1.0
labeled,73,5330,2000.0,2000,1494,1652,0,1652,1,2,2,1,6,0,2000.0,2,499,48,0,0,0,251000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,74,12378,2003.0,2004,1896,1944,0,1944,1,2,3,1,8,3,2003.0,3,708,175,0,0,0,360000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,3,1.0
labeled,75,10920,1960.0,1960,1253,1253,0,1253,1,1,2,1,5,1,1960.0,1,352,213,176,0,0,157000.0,3.0,0,1.0,1,1,0,3.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,76,17871,1967.0,1976,1680,1724,0,1724,1,1,3,1,7,1,1967.0,2,480,0,0,0,0,197900.0,3.0,0,4.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,77,11782,1961.0,1995,1109,1155,0,1155,1,1,3,1,6,0,1987.0,2,576,0,0,0,1,148000.0,3.0,1,3.0,1,1,0,2.0,2.0,3.0,3.0,1,2.0,1,1.0
labeled,78,10784,1991.0,1992,384,802,670,1472,0,2,3,1,7,1,1991.0,2,402,0,0,0,0,160000.0,3.0,0,4.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,79,15578,2006.0,2006,728,728,728,1456,0,2,3,1,8,0,2006.0,2,429,0,0,0,0,172785.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,80,3013,2005.0,2005,1362,1506,0,1506,0,2,2,1,6,1,2005.0,2,440,20,0,0,0,213490.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,3,1.0
labeled,81,8064,1949.0,2006,672,672,252,924,0,1,3,1,6,1,2003.0,2,576,0,0,0,1,122900.0,3.0,1,2.0,1,1,0,2.0,2.0,3.0,3.0,1,2.0,1,1.0
labeled,82,14145,1984.0,1998,1208,1621,0,1621,1,2,3,1,8,0,1984.0,2,440,45,0,0,1,202500.0,3.0,1,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,83,9600,1955.0,1972,1156,1520,0,1520,1,1,3,1,7,2,1955.0,1,364,0,189,0,0,153000.0,3.0,0,4.0,1,1,0,2.0,2.0,3.0,3.0,1,2.5,2,1.0
labeled,84,14850,1957.0,1957,1092,1092,0,1092,1,1,2,1,6,1,1957.0,1,299,0,0,0,0,141000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,2.0,1,3.0,3,1.0
labeled,85,7200,1980.0,1980,936,936,0,936,1,1,2,1,4,0,1980.0,2,672,0,0,0,0,140000.0,2.0,0,3.0,1,1,0,2.0,2.0,3.0,3.0,1,2.0,1,1.0
labeled,86,7677,1953.0,1953,773,773,0,773,0,1,2,1,4,0,1953.0,1,240,0,0,0,0,110000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,87,10482,1958.0,1958,588,1138,0,1138,0,1,3,1,6,0,1958.0,1,264,0,0,0,0,145000.0,3.0,0,4.0,1,1,0,3.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,88,7931,1959.0,1959,1148,1148,0,1148,1,1,3,1,6,0,1959.0,1,672,0,0,0,0,132500.0,3.0,0,1.0,1,1,0,3.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,89,8366,2004.0,2004,798,798,842,1640,0,2,3,1,6,0,2004.0,2,520,45,0,0,0,173000.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,90,6000,1920.0,1950,960,960,0,960,0,1,2,1,5,0,1997.0,1,308,0,168,0,0,108500.0,2.0,0,1.0,1,1,0,3.0,3.0,3.0,2.0,1,2.0,1,1.0
labeled,91,7420,1962.0,1962,1057,1057,0,1057,0,1,3,1,6,0,1977.0,2,576,0,0,0,0,132000.0,3.0,0,1.0,1,1,0,3.0,2.0,3.0,3.0,1,2.0,3,1.0
labeled,92,11988,1957.0,1957,1244,1244,0,1244,0,1,3,1,6,2,1957.0,1,336,40,0,0,0,150000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,2.0,1,3.0,1,1.0
labeled,93,7390,1955.0,1955,1098,1098,0,1098,1,1,3,1,6,0,1955.0,1,260,0,0,0,0,135000.0,3.0,0,1.0,1,1,0,3.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,94,7844,1978.0,1978,672,672,728,1400,0,1,3,1,6,1,1978.0,2,440,0,0,0,0,149500.0,3.0,0,5.0,1,1,0,3.0,2.0,3.0,3.0,1,3.0,3,1.0
labeled,95,9400,1971.0,1971,912,912,912,1824,0,2,4,2,8,0,0.0,0,0,0,0,0,0,139000.0,3.0,0,5.0,1,1,0,3.5,2.0,3.0,3.0,1,0.0,0,1.0
labeled,96,7910,1960.0,1960,1075,1507,0,1507,0,2,4,1,7,0,1960.0,1,404,0,0,0,0,127000.0,3.0,0,4.0,1,1,0,3.0,2.0,3.0,3.0,1,2.5,1,1.0
labeled,97,9000,2008.0,2008,1566,1566,0,1566,1,2,3,1,7,0,2008.0,2,750,168,0,0,0,262500.0,3.2,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,98,10708,1955.0,1993,1617,1867,0,1867,1,1,2,1,7,3,1955.0,1,303,0,0,0,0,190000.0,3.0,0,1.0,1,1,0,3.0,2.0,3.0,2.0,1,3.0,3,1.0
labeled,99,6380,1922.0,1950,993,1048,0,1048,0,1,2,1,5,1,1922.0,1,280,0,116,0,0,113000.0,2.0,0,1.5,1,1,0,2.0,1.0,3.0,2.0,1,2.0,1,1.0
labeled,100,1533,1970.0,2008,546,798,546,1344,0,1,3,1,6,1,0.0,0,0,0,0,0,0,97000.0,2.0,0,5.0,1,1,0,2.0,2.0,3.0,3.0,1,0.0,0,1.0
labeled,101,9180,1983.0,1983,840,884,0,884,1,1,2,1,5,0,1983.0,2,504,0,0,0,0,144000.0,3.0,0,3.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,2,1.0
labeled,102,11302,2005.0,2006,1814,1826,0,1826,1,2,3,1,7,1,2005.0,3,758,75,0,0,0,319000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,3,1.0
labeled,103,9170,1965.0,1965,1214,1214,0,1214,1,1,2,1,6,0,1965.0,2,461,0,184,0,1,140000.0,3.0,1,1.0,1,1,0,3.0,2.0,3.0,3.0,1,2.0,1,1.0
labeled,104,9765,1993.0,1993,680,680,790,1470,0,2,3,1,6,1,1993.0,2,420,63,0,0,1,185000.0,3.0,1,5.0,1,1,0,2.0,3.0,3.0,3.0,1,4.0,3,1.0
labeled,105,9672,1984.0,1985,1040,1097,0,1097,0,2,3,1,6,0,1986.0,2,480,0,0,0,0,152000.0,3.0,0,1.0,1,1,0,3.0,3.0,3.0,3.0,1,3.0,1,1.0
labeled,106,9135,2002.0,2003,1536,1536,0,1536,1,2,3,1,7,0,2002.0,2,532,74,0,0,0,214000.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,107,4500,1999.0,1999,1224,1224,0,1224,1,2,2,1,5,0,1999.0,2,402,304,0,0,0,165000.0,2.0,0,1.0,1,1,0,3.0,3.0,3.0,3.0,1,3.0,3,1.0
labeled,108,9830,1959.0,2006,1063,1287,0,1287,1,1,3,1,7,1,1997.0,2,576,17,0,0,0,162000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,2.0,3,1.0
labeled,109,10592,1923.0,1996,602,900,602,1502,0,1,3,1,7,2,1923.0,1,180,0,112,0,0,165000.0,3.0,0,5.0,1,1,0,3.0,3.0,3.0,3.0,1,2.0,1,1.0
labeled,110,1300,1980.0,1980,561,561,668,1229,0,1,2,1,5,1,1980.0,2,462,0,0,0,0,124000.0,2.0,0,5.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,3,1.0
labeled,111,11308,2008.0,2008,1104,1130,1054,2184,1,2,3,1,10,1,2008.0,3,836,102,0,0,0,335000.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,3,1.0
labeled,112,8120,1970.0,1970,864,864,0,864,0,1,3,1,5,0,1994.0,2,463,0,0,0,0,124500.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,2.0,1,1.0
labeled,113,9873,1970.0,1970,960,960,0,960,1,1,3,1,6,0,1970.0,2,576,288,0,0,0,129000.0,3.0,0,1.0,1,1,0,2.0,2.0,2.0,3.0,0,2.0,1,1.0
labeled,114,5100,1925.0,1996,588,833,833,1666,0,1,3,1,7,1,1925.0,1,228,63,0,0,0,161000.0,2.0,0,5.0,1,1,0,3.0,3.0,3.0,3.0,1,2.0,1,1.0
labeled,115,2308,1976.0,1976,804,804,744,1548,1,2,3,1,7,1,1976.0,2,440,0,0,0,0,155000.0,3.0,0,5.0,1,1,0,2.0,2.0,3.0,3.0,1,2.0,1,1.0
labeled,116,8000,1961.0,1961,1800,1800,0,1800,0,2,6,2,10,0,0.0,0,0,0,0,0,0,141000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,0,0.0,0,1.0
labeled,117,7945,1959.0,1959,1150,1150,0,1150,1,1,3,1,6,0,1959.0,1,300,0,0,0,0,141000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,2.0,1,3.0,2,1.0
labeled,118,8461,2005.0,2006,728,728,728,1456,0,2,3,1,8,1,2005.0,2,390,24,0,0,0,163990.0,3.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,3,1.0
labeled,119,10300,1921.0,1950,576,902,808,1710,0,2,3,1,9,0,1990.0,2,480,11,64,0,0,140000.0,2.0,0,5.0,1,1,0,2.0,1.0,3.0,3.0,1,2.0,1,1.0
labeled,120,164660,1965.0,1965,1499,1619,167,1786,2,2,3,1,7,2,1965.0,2,529,0,0,0,1,228950.0,3.0,1,2.0,0,1,2,2.0,2.0,3.0,3.0,1,3.0,3,1.0
labeled,121,7082,1916.0,1995,686,948,980,1928,0,2,5,2,10,0,0.0,0,0,0,228,0,0,160000.0,1.0,0,5.0,1,1,0,2.0,3.0,3.0,3.0,1,0.0,0,0.0
labeled,122,7558,1928.0,1950,896,1172,741,1913,0,1,3,1,9,1,1929.0,2,342,0,0,0,0,177000.0,3.0,0,2.0,1,1,0,2.0,1.0,3.0,3.0,1,2.0,1,1.0
labeled,123,9600,1950.0,1995,1067,1067,0,1067,0,2,2,1,4,0,1996.0,2,436,0,0,0,0,128000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,3.0,1,3.0,1,1.0
labeled,124,7931,1960.0,1960,1269,1269,0,1269,0,1,3,1,6,1,1964.0,1,308,0,0,0,0,155000.0,3.0,0,1.0,1,1,0,2.0,2.0,3.0,2.0,1,2.0,1,1.0
labeled,125,11120,1984.0,1984,1232,1232,0,1232,0,2,3,1,6,0,1984.0,2,516,0,0,0,0,162500.0,3.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,1,1.0
labeled,126,4426,2004.0,2004,848,848,0,848,1,1,1,1,3,0,2004.0,2,420,0,0,0,0,143000.0,2.0,0,1.0,1,1,0,2.0,3.0,3.0,3.0,1,3.0,2,1.0
labeled,127,7018,1979.0,1979,0,1535,0,1535,0,2,4,2,8,0,1979.0,2,400,0,0,0,0,118858.0,3.0,0,1.0,1,1,0,2.0,0.0,3.0,3.0,1,3.0,1,1.0
labeled,128,3675,2005.0,2005,547,1072,0,1072,1,1,2,1,5,0,2005.0,2,525,28,0,0,0,148000.0,2.0,0,4.0,1,1,0,2.0,3.0,3.0,3.0,1,2.5,2,1.0
