id,split,default,housing,loan,day,pdays,previous,y,age_group,campaign_intensity,duration_category,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,education_ordinal,has_education,contact_cellular,contact_unknown,marital_divorced,marital_single,poutcome_failure,poutcome_other,poutcome_success,balance_category_ordinal,economic_profile_ordinal,contact_history_ordinal,season_ordinal
28,labeled,0,1,0,18,266,8,1,1,0,2,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,2,1,2,2
29,labeled,0,0,0,25,-1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,0,3
30,labeled,0,1,0,22,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,1,0,3
32,labeled,0,1,0,27,-1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,3
33,labeled,0,1,0,14,-1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,2,1,0,2
34,labeled,0,0,0,18,-1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,3,0,0,2
35,labeled,0,1,0,6,197,6,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,2,1,2,1
36,labeled,0,0,0,5,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,2,0,0,2
37,labeled,0,0,0,26,-1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,3,0,0,2
38,labeled,0,1,1,4,-1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,2
39,labeled,0,1,0,16,-1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,2,1,0,2
40,labeled,0,0,0,10,-1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,0,0,3
41,labeled,0,1,0,5,347,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,2,1,2,2
42,labeled,0,0,0,23,182,2,1,4,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,2,0,2,4
43,labeled,0,1,0,3,-1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,2
44,labeled,0,0,0,8,-1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,3
45,labeled,0,0,0,9,-1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,2,0,0,2
46,labeled,0,1,0,19,189,8,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,1,1,0,0,3,1,2,4
48,labeled,0,1,1,6,-1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,2
49,labeled,0,0,0,18,-1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,2
50,labeled,0,0,0,27,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,2,0,0,3
53,labeled,0,0,1,10,-1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,2,1,0,3
55,labeled,0,1,0,12,-1,0,1,2,1,3,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,0,0,0,3,1,0,2
56,labeled,0,1,0,11,-1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,2,1,0,3
57,labeled,0,1,0,15,-1,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,3,1,0,2
58,labeled,0,1,1,19,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,2,0,4
59,labeled,0,1,0,12,-1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,3,1,0,2
61,labeled,0,0,0,9,-1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,3,0,0,2
62,labeled,0,1,0,28,-1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,2,1,0,1
63,labeled,0,1,0,16,-1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,0,3
64,labeled,0,1,0,19,-1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,4,1,0,2
65,labeled,0,1,0,20,-1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,2,1,0,2
66,labeled,0,1,0,11,-1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,4,1,0,3
67,labeled,0,0,0,6,-1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,2
68,labeled,0,0,0,28,-1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,2,0,0,2
70,labeled,0,0,0,17,-1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,4,0,0,2
72,labeled,0,0,0,17,-1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,2
75,labeled,0,1,0,31,-1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,1,0,3
76,labeled,0,1,0,21,-1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,4,1,0,4
78,labeled,0,0,0,6,-1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,3,0,0,2
79,labeled,0,1,0,14,-1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,2,1,0,2
81,labeled,0,0,0,9,-1,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,2
82,labeled,0,1,0,20,-1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,1,0,4
83,labeled,0,0,0,21,-1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,2,0,0,3
84,labeled,0,0,1,25,-1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,3,1,0,3
85,labeled,0,1,0,17,-1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1,0,4
86,labeled,0,1,0,17,-1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,0,0,0,1,1,0,4
87,labeled,0,1,0,13,-1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,2,1,0,2
88,labeled,0,0,0,13,-1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,2,0,0,3
90,labeled,0,1,0,11,-1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,3
91,labeled,0,1,1,8,-1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,2
92,labeled,0,1,0,11,-1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,1,0,3
93,labeled,0,0,0,8,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,0,0,4,0,0,2
94,labeled,0,1,0,5,-1,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,1,0,2
95,labeled,0,0,0,12,-1,0,1,2,1,3,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0,3
96,labeled,0,1,1,3,-1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,2,0,2
97,labeled,0,1,0,19,-1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,1,0,4
98,labeled,1,1,0,2,-1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,3,0,2
99,labeled,0,0,0,21,-1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,3
100,labeled,0,1,0,15,-1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,2,1,0,2
101,labeled,0,0,0,18,-1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,2
102,labeled,0,0,0,10,414,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,3,0,2,3
104,labeled,0,1,0,6,-1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,2
105,labeled,0,1,0,15,-1,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,0,2
108,labeled,0,0,0,13,-1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3
109,labeled,0,0,0,8,-1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,0,0,3
110,labeled,0,1,0,4,-1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,2,1,0,1
111,labeled,0,1,0,21,-1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,1,1,0,4
112,labeled,0,1,0,7,-1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,2
113,labeled,0,1,0,15,-1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,4,1,0,2
114,labeled,0,1,0,7,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,2,1,0,2
115,labeled,0,1,0,2,-1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,2,1,0,2
116,labeled,0,0,0,19,-1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,2,0,0,3
118,labeled,0,1,1,28,-1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,3,2,0,3
120,labeled,0,1,0,21,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,2,1,0,3
121,labeled,0,0,0,28,-1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,2,0,0,3
122,labeled,0,1,0,20,-1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,0,2
123,labeled,0,1,0,12,-1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,3,1,1,0,1,0,0,0,0,1,1,0,2
124,labeled,0,1,0,15,352,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,2,1,2,2
125,labeled,0,0,0,11,-1,0,1,2,1,3,0,0,0,0,1,0,0,0,0,0,3,1,1,0,1,0,0,0,0,3,0,0,3
126,labeled,0,0,0,8,-1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,3,0,0,2
127,labeled,0,1,0,18,293,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,1,0,0,2,1,2,2
128,labeled,0,1,0,22,-1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,1,0,3
130,labeled,0,0,1,29,-1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,2,1,0,3
131,labeled,0,1,0,27,-1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,3,1,0,2
132,labeled,0,1,0,11,-1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,0,2,1,0,2
134,labeled,0,1,0,14,-1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,4,1,0,2
135,labeled,0,1,0,6,321,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,2,1,2,2
136,labeled,0,1,0,30,339,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,1,0,0,3,1,2,2
138,labeled,0,0,0,9,-1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2
139,labeled,0,1,0,12,-1,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,2
140,labeled,0,1,0,30,-1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,1,1,0,2
141,labeled,0,1,0,19,-1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,0,0,0,2,1,0,2
142,labeled,0,0,0,11,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,3
145,labeled,0,1,0,13,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,0,2
146,labeled,0,1,0,12,334,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,1,2,2
147,labeled,0,0,0,11,-1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,2,0,0,1
148,labeled,0,0,0,9,-1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,2,0,0,3
149,labeled,0,1,0,19,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,2,1,0,3
150,labeled,0,1,0,15,-1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,2
151,labeled,0,1,0,2,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,2
152,labeled,0,1,0,15,-1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,2,1,0,2
153,labeled,0,0,0,29,-1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,1,0,0,0,3,0,0,3
154,labeled,0,1,0,15,375,1,1,3,1,2,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,1,0,0,2,1,2,2
155,labeled,0,0,0,13,-1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,3
156,labeled,0,1,1,9,-1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,3
157,labeled,0,1,0,28,-1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,1,1,0,0,0,0,2,1,0,2
158,labeled,0,1,0,5,-1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,2
159,labeled,0,1,0,14,-1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,1,0,2
160,labeled,0,1,0,11,-1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,2,1,0,2
161,labeled,0,1,0,17,-1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,4,1,0,2
162,labeled,0,0,0,4,-1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,2,0,0,3
163,labeled,0,1,0,6,-1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,3,1,0,1,1,0,0,0,0,3,1,0,2
164,labeled,0,0,0,9,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,3,0,0,2
165,labeled,0,1,0,20,-1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,1,0,2
166,labeled,0,1,0,14,-1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,3,1,0,2
167,labeled,0,1,0,13,351,10,0,2,1,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,1,0,0,2,1,2,2
168,labeled,0,0,0,19,-1,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,3,0,0,2
169,labeled,0,1,0,9,-1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,2
170,labeled,0,1,0,14,-1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,3,1,0,3
171,labeled,1,1,0,15,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,3,0,2
172,labeled,0,1,0,6,-1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,2,1,0,2
173,labeled,0,1,0,27,-1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,1,0,0,0,3,1,0,2
175,labeled,0,0,0,20,183,3,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,3,0,2,4
176,labeled,0,1,1,28,-1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,2
177,labeled,0,1,0,21,-1,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,4
178,labeled,0,1,0,13,351,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,2,1,2,2
179,labeled,0,0,0,29,-1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,3,0,0,1
181,labeled,0,0,0,29,-1,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,0,0,0,3,0,0,2
182,labeled,0,0,0,19,-1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,4
183,labeled,0,1,1,20,-1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,0,0,0,2,2,0,2
184,labeled,0,1,0,14,-1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,2
185,labeled,0,0,0,15,-1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,2
188,labeled,0,0,0,26,-1,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,2,0,0,3
189,labeled,0,0,0,24,-1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,3,0,0,3
190,labeled,0,0,0,26,-1,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,3
193,labeled,0,0,0,19,-1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,4,0,0,4
194,labeled,0,1,0,17,-1,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,1,0,3
195,labeled,0,1,1,13,-1,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,2,2,0,2
196,labeled,0,0,0,22,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,1,0,0,3
199,labeled,0,1,0,7,99,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,1,1,1,3,3
200,labeled,0,0,0,2,-1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1
201,labeled,0,1,0,12,-1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,2
203,labeled,0,0,0,2,-1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,1,0,0,0,3,0,0,2
204,labeled,0,1,0,17,-1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,2,1,0,2
205,labeled,0,0,0,22,-1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,3,0,0,2
206,labeled,0,0,0,4,94,2,1,3,0,2,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,0,3,3
207,labeled,0,1,0,5,258,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,2,1,2,1
209,labeled,0,1,0,29,246,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,1,1,0,0,2,1,2,1
210,labeled,0,1,0,9,-1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,3,1,1,0,1,0,0,0,0,2,1,0,2
211,labeled,0,1,0,12,-1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,2
213,labeled,0,0,1,16,-1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,3
214,labeled,0,1,0,14,-1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,2,1,0,2
215,labeled,0,0,0,14,-1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,2
216,labeled,0,0,0,7,-1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,3
217,labeled,0,1,0,26,-1,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,2,1,0,3
218,labeled,0,1,0,12,347,5,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,2,1,2,2
219,labeled,0,1,1,29,247,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,2,2,2,1
220,labeled,0,1,0,11,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,1,0,2
221,labeled,0,0,0,22,-1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,2,0,0,3
222,labeled,0,0,0,3,-1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,1,1,0,0,0,0,0,0,0,3
223,labeled,0,0,0,19,-1,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,2
